Mês,Dia,Hora,Pressao Atmosferica {kPa},Umidade {kg/kg},Densidade do ar {kg/m3}
1,15,5,89.4,1.323.385,1.045.444.646
1,15,6,89.3,14.057.086,1.041.852.279
1,15,7,89.3,14.192.502,1.041.630.504
1,15,8,89.4,14.040.484,1.043.046.193
1,15,9,89.5,14.509.771,1.040.592.543
1,15,10,89.5,14.948.634,1.035.279.785
1,15,11,89.5,15.582.506,1.031.095.672
1,15,12,89.5,15.880.015,1.028.175.417
1,15,13,89.4,15.379.337,1.022.302.782
1,15,14,89.3,1.528.114,1.017.893.407
1,15,15,89.3,15.500.013,1.016.862.259
1,15,16,89.2,15.686.295,1.013.051.558
1,15,17,89.1,15.932.481,101.084.973
1,15,18,89.1,15.957.705,1.013.517.438
1,15,19,89.1,17.136.124,1.017.440.209
1,15,20,89.2,16.063.881,1.025.473.926
1,15,21,89.2,16.143.528,1.028.478.884
1,15,22,89.4,15.769.755,1.033.494.259
1,15,23,89.4,15.792.052,1.034.866.347
1,15,24,89.4,15.731.179,103.567.075
1,16,1,89.4,16.208.877,103.524.842
1,16,2,89.4,15.731.179,103.567.075
1,16,3,89.4,15.629.021,1.036.189.915
1,16,4,89.3,15.689.208,1.035.286.211
1,16,5,89.3,15.731.076,1.035.571.497
1,16,6,89.3,15.629.363,103.609.025
1,16,7,89.3,15.528.236,1.036.608.458
1,16,8,89.4,15.409.721,1.038.316.795
1,16,9,89.4,15.540.919,1.033.162.284
1,16,10,89.5,15.517.319,1.040.368.909
1,16,11,89.5,15.517.319,1.040.368.909
1,16,12,89.5,1.678.402,1.033.007.386
1,16,13,89.5,16.539.088,1.028.853.523
1,16,14,89.4,16.533.996,102.875.747
1,16,15,89.4,17.241.445,1.022.074.491
1,16,16,89.3,16.436.487,1.024.290.928
1,16,17,89.2,16.070.418,1.023.039.566
1,16,18,89.2,15.728.995,1.023.241.787
1,16,19,89.2,15.641.115,1.025.112.966
1,16,20,89.3,13.655.523,102.981.629
1,16,21,89.3,1.424.236,1.030.260.285
1,16,22,89.4,14.167.219,1.032.235.051
1,16,23,89.5,15.667.395,1.034.112.787
1,16,24,89.5,1.484.375,1.042.895.754
1,17,1,89.5,14.996.312,1.041.576.037
1,17,2,89.5,14.801.982,1.042.607.166
1,17,3,89.4,15.409.721,1.038.316.795
1,17,4,89.4,14.916.217,1.040.899.154
1,17,5,89.4,14.819.219,104.141.405
1,17,6,89.4,14.957.998,1.041.187.138
1,17,7,89.4,14.626.905,1.042.442.295
1,17,8,89.5,14.773.562,1.041.228.093
1,17,9,89.6,15.652.552,1.037.761.923
1,17,10,89.6,14.858.328,1.032.371.881
1,17,11,89.6,15.586.809,1.028.754.058
1,17,12,89.6,15.693.296,1.028.234.941
1,17,13,89.5,16.351.938,1.018.803.235
1,17,14,89.5,16.549.184,1.018.830.117
1,17,15,89.4,15.687.226,1.015.660.893
1,17,16,89.4,15.812.657,1.016.480.514
1,17,17,89.3,16.255.642,101.429.937
1,17,18,89.2,14.841.939,1.013.717.272
1,17,19,89.3,15.348.493,1.017.104.015
1,17,20,89.4,15.553.839,1.020.992.867
1,17,21,89.5,14.415.151,1.034.038.459
1,17,22,89.6,15.023.475,1.039.495.256
1,17,23,89.6,15.065.262,1.039.781.641
1,17,24,89.7,14.766.856,1.041.429.949
1,18,1,89.7,14.627.411,1.041.658.072
1,18,2,89.6,1.450.582,1.040.695.578
1,18,3,89.5,14.401.251,1.042.193.514
1,18,4,89.5,13.696.897,1.046.569.088
1,18,5,89.5,13.557.362,1.047.877.119
1,18,6,89.6,13.310.583,1.051.983.816
1,18,7,89.6,13.347.704,1.053.372.526
1,18,8,89.6,14.153.056,1.044.122.087
1,18,9,89.7,14.912.696,1.037.651.809
1,18,10,89.7,16.038.678,1.028.130.942
1,18,11,89.8,14.858.187,1.027.717.194
1,18,12,89.8,15.033.185,1.023.991.136
1,18,13,89.7,15.556.968,1.019.959.271
1,18,14,89.6,15.813.786,1.019.093.721
1,18,15,89.6,15.493.537,1.018.242.359
1,18,16,89.5,15.402.802,101.386.158
1,18,17,89.4,14.687.222,10.128.547
1,18,18,89.4,14.819.231,1.017.385.418
1,18,19,89.5,149.152,1.024.192.148
1,18,20,89.5,14.748.106,1.027.917.857
1,18,21,89.5,14.389.555,103.267.862
1,18,22,89.6,1.474.711,1.036.412.219
1,18,23,89.7,14.474.729,1.039.425.966
1,18,24,89.7,1.457.201,1.042.459.945
1,19,1,89.6,14.111.376,1.043.833.456
1,19,2,89.6,14.236.436,1.044.699.938
1,19,3,89.6,14.174.114,1.046.593.478
1,19,4,89.5,13.996.558,1.047.513.118
1,19,5,89.5,13.723.879,1.049.043.379
1,19,6,89.5,13.544.726,1.050.061.171
1,19,7,89.5,13.363.081,1.052.171.422
1,19,8,89.6,14.372.652,1.044.476.309
1,19,9,89.7,15.341.377,1.036.953.841
1,19,10,89.7,15.670.985,1.023.199.535
1,19,11,89.7,15.102.214,1.020.687.338
1,19,12,89.7,14.944.746,1.013.481.389
1,19,13,89.7,17.507.782,1.014.810.985
1,19,14,89.6,16.386.256,1.021.599.388
1,19,15,89.5,16.850.961,1.010.553.176
1,19,16,89.4,16.818.772,1.006.460.075
1,19,17,89.3,17.218.408,1.007.715.322
1,19,18,89.4,16.803.739,1.011.518.696
1,19,19,89.4,16.223.343,1.014.129.673
1,19,20,89.4,16.273.043,1.019.499.842
1,19,21,89.5,19.392.122,102.047.482
1,19,22,89.6,16.615.191,1.034.434.996
1,19,23,89.7,15.881.463,1.038.193.503
1,19,24,89.7,15.616.152,1.040.042.708
1,20,1,89.7,15.414.287,1.041.082.373
1,20,2,89.6,15.373.901,1.040.698.137
1,20,3,89.6,14.937.102,1.042.480.161
1,20,4,89.6,14.509.446,1.044.251.825
1,20,5,89.6,15.118.585,104.253.968
1,20,6,89.6,15.006.908,1.044.151.095
1,20,7,89.6,14.718.173,1.045.699.146
1,20,8,89.7,15.184.702,104.430.935
